exe	f19_routine	dist	f15_source
egame	loadColorPalette	0	eg3dview.c,eg3dview.h,egdata.c,egflight.c,egtacmap.c,egtarget.c
egame	replaceExtension	0	stparse.c
egame	drawNearestTileObject	0	eg3dmap.c,eg3dmap.h,egcombat.c,egdata.c
egame	renderMapTerrain	0	eg3dmap.c,eg3dmap.h,egtacmap.c
egame	drawMapTiles	0	eg3dmap.c
egame	drawModelPoint	0	eg3dmap.c
egame	buildVertexSignMask	0	eg3dmap.c
egame	installCBreakHandler	0	END0.COD,common.h,egcode.h,egmain.c,enmain.c,lowlvl.h,miscimpl.c,stmain.c
egame	drawViewportLine	0	egtacmap.c,egtacmap.h,egtarget.c
egame	drawMapMarkerBox	0	egui.c
egame	projectMapPoint	0	egui.c
egame	blitGaugeSprite	0	egdata.c,egui.c
egame	rangeApprox	0	egcombat.c,egflight.c,egframe.c,egmath.c,egtarget.c,egtgt2.c,egthreat.c,egthreat.h
egame	openFile	0	common.h,egcode.h,egfileio.c,egsys.c,file_io.c,filepic.c
egame	closeFile	0	file_io.c,filepic.c
egame	openBlitClosePic	0	egflight.c,egmain.c,egpic.c,egpic.h,gfx_impl.c
egame	picBlit	0	common.h,egpic.c,filepic.c,picimpl.c,stcode.asm
egame	decodePicRow	0	stcode.asm
egame	picReadDataAndMakeDict	0	-
egame	picMakeDict	0	-
egame	doPicDecode	0	-
egame	dictionaryLookup	0	-
egame	projectVertexToScreen	0	eg3drast.c
egame	clipLineSegment	0	eg3drast.c
egame	clipLineSubdivP1Outside	0	eg3drast.c
egame	writeClippedStart	0	eg3drast.c
egame	writeClippedEnd	0	eg3drast.c
egame	rejectClippedLine	0	eg3drast.c
egame	clipPointInside	0	eg3drast.c
egame	clipComputeOutcode	0	eg3drast.c
egame	clampToClipEdge	0	eg3drast.c
egame	clipMidpointSubdivide	0	eg3drast.c
egame	clipLineMidpoint	0	eg3drast.c
egame	pointOnClipEdge	0	eg3drast.c
egame	computeClipOutcode	0	eg3drast.c
egame	decodeRleEdgeRow	0	eg3drast.c
egame	renderHorizonSky	0	eg3drast.c
egame	projectSceneObject	0	eg3dproj.c,eg3drast.c,egcode.h,egmath.c
egame	transformAndCullObject	0	eg3drast.c
egame	skipDisplayListByLod	0	eg3drast.c
egame	insertSortedObject	0	eg3drast.c
egame	renderSortedList	0	-
egame	rotatePoint3d	0	eg3drast.c,egcode.h
egame	transformModelVertices	0	-
egame	transformVertexList	0	eg3drast.c
egame	projectModelEdges	0	eg3drast.c,struct.h
egame	clipEdgeNearPlane	0	eg3drast.c
egame	buildRotationMatrix	0	eg3drast.c
egame	buildInverseRotationMatrix	0	eg3drast.c
egame	multiplyMatrix3x3	0	eg3drast.c
egame	renderPrimitiveList	0	eg3drast.c
egame	renderPrimitiveCommand	0	eg3drast.c
egame	drawPrimitiveEdges	0	eg3drast.c
egame	fillSpanRect	0	egcode.h,eghudr.c,egmath.c,egtacmap.c,egui.c
egame	clipLineCohenSutherland	0	-
egame	computeLineOutcode	0	-
egame	resetScanlineSpansImpl	0	eg3drast.c
egame	clampScanlineSpan	0	eg3drast.c
egame	rasterizeEdgeSpan	0	eg3drast.c
egame	setInt9Handler	0	egcode.h,eginput.c,egmain.c
egame	addTileEntry	1	eg3dmap.c,eg3dmap.h,egcombat.c,egdata.c,egframe.c,struct.h
egame	lookupTileEntry	1	eg3dmap.c,eg3dmap.h,eg3dproj.c
egame	computeTileBounds	1	eg3dmap.c
egame	worldToTileIndex	1	eg3dmap.c
egame	projectModelVertices	1	eg3dmap.c
egame	setViewRotation	1	eg3dcam.c,eg3dcam.h,eg3dmap.c
egame	applyRotationDelta	1	egflight.c
egame	signedRatio16	1	egflight.c
egame	isqrt	1	egflight.c,egflight.h,egtarget.c
egame	moveDataFar	1	egframe.c,egframe.h,egmain.c
egame	readMapPixelColor	1	egcombat.c,egtacmap.c,egtacmap.h,egthreat.c
egame	drawMapLine	1	END0.COD,enbrief.c
egame	drawFullscreenLine	1	egframe.c,egtacmap.c,egtacmap.h,egtarget.c
egame	drawScreenLineOnePage	1	egtacmap.c,egtacmap.h,egui.c
egame	fillRectBoth	1	eg3dload.c,egcombat.c,egflight.c,egframe.c,egtacmap.c,egtacmap.h
egame	drawStringBothPages	1	eg3dload.c,egtacmap.c,egtacmap.h
egame	drawNumber	1	egcombat.c,egframe.c,egtacmap.c,egtacmap.h
egame	cacheScopePanel	1	egtacmap.c,egui.c,egui.h
egame	restoreScopePanel	1	egtacmap.c,egthreat.c,egui.c,egui.h
egame	captureScopePanel	1	egthreat.c,egui.c,egui.h
egame	drawTargetLabel	1	egtarget.c,egtgt2.c
egame	buildRangeString	1	egtarget.c,egtgt2.c
egame	isTargetOverWater	1	egcombat.c,egcombat.h,egtgt2.c
egame	readAxisInput	1	egframe.c,egkeys.c,egmath.c,egmath.h,egtarget.c
egame	makeSound	1	egcombat.c,egflight.c,egframe.c,egkeys.c,egkeys.h,egthreat.c
egame	processSceneObject	1	eg3drast.c
egame	setup3DTransform	2	eg3dmap.c,eg3dmap.h,eg3dview.c,egmath.c
egame	waitForKeyPress	2	egflight.c
egame	bombTarget	2	egcombat.c,egcombat.h,egtarget.c
egame	readScreenPixel	2	egtacmap.c
egame	computeTargetBearing	2	egtarget.c,egtgt2.c
egame	shapeDataOffset	2	egcombat.c,egdata.h,egfarbu2.asm,egfarbuf.c,egframe.c,egmath.c,egmath.h
egame	valueToAngle	3	egdata.c,egflight.c
egame	updateThreatAlert	3	egcombat.c,egthreat.c,egthreat.h
egame	drawInstrumentGauges	3	eghudr.c
egame	computeAttitudeAngles	4	egflight.c
egame	moveStuff	4	egframe.c
egame	load15Flt3d3	4	egmain.c,egmath.c,egmath.h
egame	recalcTimeScale	4	egframe.c,egkeys.c,egkeys.h
egame	clipAndRasterizeEdgeImpl	4	-
egame	setupViewport	5	eg3dmap.c,eg3dvp.c,eg3dvp.h
egame	markTargetReached	5	egcombat.c
egame	findNearestTileObject	7	eg3dmap.c,eg3dmap.h,egcombat.c,egdata.c,egframe.c,egtgt2.c,struct.h
egame	drawWorldObject	11	egdata.h,egfarbu2.asm,egmath.c,egmath.h,egtarget.c,struct.h
egame	drawTargetView	15	egmath.c,egmath.h,egtarget.c
end	loadWorldStrings	0	END0.COD,enmain.c,enmisc.c,enmisc.h
end	readWorldData	0	enmisc.c,enworld.c,enworld.h
end	loadWorldData	0	endtypes.h,enworld.c
end	clipAndDrawLine	0	-
end	blinkWidget	0	END0.COD,enbrief.c
end	plotMapPoint	0	END0.COD,enbrief.c
end	computeMissionResult	0	enbrief.c,enbrief.h,enmain.c
end	drawStringAt	1	END0.COD,common.h,drawstr.c,enbrief.c,endbrf.c,stmissn.c,stpilot.c,textfmt.c
end	formatFlightTime	1	END0.COD,enbrief.c
end	drawClippedLine	1	END0.COD,enbrief.c
end	drawClippedLineEx	1	END0.COD,enbrief.c
end	waitForKeyOrJoy	2	END0.COD,enaward.c,enbrief.c,eninput.c,eninput.h
end	my_ltoa	2	END0.COD,common.h,enbrief.c,stpilot.c,textfmt.c
end	my_itoa	2	END0.COD,common.h,enbrief.c,stpilot.c,textfmt.c
end	initGraphics	3	END0.COD,enmain.c,stinit.c,stinit.h,stmain.c
start	cleanup	0	END0.COD,build_tracker.py,cleanup.c,common.h,enaward.c,enbrief.c,eninput.c,enmain.c,stalloc.c,stmissn.c,stpilot.c
start	mystrcat	0	END0.COD,enaward.c,enbrief.c,endcode.h,miscimpl.c,stcode.h,stgen.c,stmissn.c,stpilot.c
start	intDispatch	0	cleanup.c,common.h,lowlvl.h,miscimpl.c,stmissn.c
start	clearDirtyRects	0	gfximpl.c
start	decodePic	0	enaward.c,endcode.h,filepic.c,picimpl.c,stcode.h
start	allocBuffer	0	END0.COD,enaward.c,enaward.h,endbrf.c,enmain.c,stalloc.c,stalloc.h,stmain.c
start	freeBuffer	0	enaward.c,enaward.h,endbrf.c
start	dos_alloc	0	dosfunc.c,dosfunc.h,enaward.c,endcode.h,f15.c,file_io.c,gfx_impl.c,lowlvl.h,miscimpl.c,overlay.c,stalloc.c
start	dos_free	0	dosfunc.c,dosfunc.h,enaward.c,file_io.c,overlay.c
start	computeBearing	0	egcombat.c,egflight.c,egmath.c,egmath.h,egtacmap.c,egtgt2.c,egthreat.c
start	memAppend	0	stgen.c
start	clearRect	1	END0.COD,enaward.c,enbrief.c,endbrf.c,endcode.h,gfximpl.c,stcode.asm,stcode.h,stmain.c,stmissn.c,stpilot.c
start	readFile2	1	egcode.h,egfileio.c,egsys.c
start	exportWorldToComm	1	stgen.c,stgen.h,stmain.c
start	itemDistance	2	stgen.c
start	positionUnit	4	stgen.c
start	parseWorld	8	stgen.c,wldparse.cpp
